Institution Address,Latitude,Longitude
4 Teddington Park Avenue,43.73344,-79.4039041
140 Sherway Drive,43.6100693,-79.5620854
1055-1057 Don Mills Rd,43.7119375,-79.3351363
1238 Queen Street,43.6636726,-79.3298411
2245 Lawrence Avenue West,43.6968603,-79.5259239
155 Dunn Ave,43.6369038,-79.4325631
59 Lawson Rd E,,
700 & 720 Mount Pleasant Road,43.7235522,-79.396196
4 Partridge Lane,43.798989,-79.2991835
718 Sheppard Avenue,43.7543865,-79.4453762
550 University Avenue,43.6566437,-79.3899799
705 - 707 Ellesmere Road,43.7625937,-79.2950837
300 Silver Star Boulevard,43.8126135,-79.2948335
2100 Bloor Street W,43.6524038,-79.4711165
795 Eglinton Avenue E,43.7130454,-79.3661511
43 Wellesley Street East,43.665097,-79.3822927
555 University Ave E,,
70 Humberline Dr W,43.7317185,-79.6174314
36 D'arcy St,43.6553005,-79.39326
55 Belmont Street,43.6744982,-79.3917014
92 Island Rd E,,
10 Fairfield Ave,43.5977477,-79.5235283
155 Millwood Road,43.6996703,-79.3924539
1001 Queen Street West - Unit 1-2,,
1001 Queen Street West - Unit 1-4,,
340 McCowan Rd - 3rd & 4th Fl,,
1001 Queen Street West - Unit 1-5,,
2075 Bayview Avenue - Unit PICU,,
111 Avenue Rd - Lower Lobby Staff Break Rm,,
28 Halton St.,43.6487735,-79.4191156
1001 Queen Street West - Unit PRT7,,
2 Buchan Crt - 4th Fl,,
2075 Bayview Avenue - K1C & K1E,,
2867 Ellesmere Road - Complex Continuing Care,,
2867 Ellesmere Road -General Medicine Unit,,
345 Sherbourne St - Management Office & Craft Rm,,
650 Dixon Rd - Specialized Care Centre,,
2075 Bayview Ave - LFSE,,
2867 Ellesmere Road - 10W (Mental Health Unit),,
200 Dawes Rd - Basement/Kitchen,,
3030 Birchmount Rd - G3C- Mental Health,,
3030 Lawrence Ave. E. - 2C-Nephorology,,
3030 Lawrence Ave. E.- T 9-Medicine,,
3030 Lawrence Ave. E. - 4E Medicine,,
1001 Queen Street West - Unit 1-3,,
1001 Queen Street West - Unit 3-1,,
33 Hahn Pl,43.6494306,-79.3625479
30 The Queensway - Dialysis Unit - Main & Satellite Site,,
602 Brimley Rd,43.741617,-79.2508121
30 Bond Street - In-Centre Dialysis Unit,,
150 Sherway Dr - CCC Unit,,
76 Silversted Dr,43.8018315,-79.2662074
2075 Bayview Ave - LFSW,,
1001 Queen Street West - Unit 3-5,,
3030 Lawrence Ave. E. - CP3 Surgery,,
3030 Lawrence Ave. E. - T7 Medicine,,
2075 Bayview Ave - LGSE,,
1001 Queen Street West - Unit 3-2,,
3030 Lawrence Ave. E. - T2 Nephrology,,
2075 Bayview Ave - LGSW,,
3030 Lawrence Ave. E - 3C - General Surgery,,
3760 Shepherd Ave E,43.7828345,-79.2938789
76 St. Clair Ave E,43.7185579,-79.2519762
555 Finch Ave West,43.771426,-79.4472871
111 Ave Rd,,
1001 Queen St West,43.6430326,-79.4186392
866 Sheppard Ave,43.7524034,-79.4539034
3276 St. Clair Ave,43.7122483,-79.2849702
4650 Eglinton Ave West,43.6713876,-79.5727486
150 Sherway Dr,43.608748,-79.560261
3760 Sheppard Ave East,43.7828345,-79.2938789
3276 St. Clair Ave East,43.7122483,-79.2849702
2109 Finch Ave W,43.7473209,-79.564066
2 Green Belt Dr,43.7304188,-79.3364525
541 Finch Ave E,43.7922459,-79.3568858
537 Finch Ave,43.7701792,-79.4445306
1066 Ave Rd,43.7057203,-79.4102447
1800 O'Connor,43.7204409,-79.3052282
